Question,Response
Who were the authors of the paper 'Assessing the conditions forin vivo electrical virtual biopsies in Barrett's oesophagus'?,"The authors were CA González-Correa, BH Brown, RH Smallwood, N Kalia, CJ Stoddard, TJ Stephenson, SJ Haggie, DN Slater and KD Bardhan."
"Who were the authors of the paper 'Mk3.5: a modular, multi-frequency successor to the Mk3a EIS/EIT system'?","The authors were AJ Wilson, P Milnes, AR Waterworth, RH Smallwood and BH Brown."
Who were the authors of the paper 'Is the short-latency dopamine response too short to signal reward error?'?,"The authors were P Redgrave, TJ Prescott and K Gurney."
Who were the authors of the paper 'A computational model of action selection in the basal ganglia. I. A new functional anatomy'?,"The authors were K Gurney, TJ Prescott and P Redgrave."
Who were the authors of the paper 'A computational model of action selection in the basal ganglia. II. Analysis and simulation of behaviour'?,"The authors were K Gurney, TJ Prescott and P Redgrave."
Who were the authors of the paper 'Computational models of collective foraging'?,"The authors were Marian Gheorghe, Mike Holcombe and Petros Kefalas."
Who were the authors of the paper 'Modelled current distribution in cervical squamous tissue'?,"The authors were DC Walker, BH Brown, RH Smallwood, DR Hose and DM Jones."
Who were the authors of the paper 'The basal ganglia: A vertebrate solution to the selection problem?'?,"The authors were P Redgrave, TJ Prescott and K Gurney."
Who were the authors of the paper 'Virtual Biopsies in Barrett's Esophagus Using an Impedance Probe'?,"The authors were CA GONZÁLEZ‐CORREA, BH BROWN, RH SMALLWOOD, N KALIA, CJ STODDARD, TJ STEPHENSON, SJ HAGGIE, DN SLATTER and KD BARDHAN."
Who were the authors of the paper 'Neonatal lungs-can absolute lung resistivity be determined non-invasively?'?,"The authors were BH Brown, RA Primhak, RH Smallwood, P Milnes, AJ Narracott and MJ Jackson."
Who were the authors of the paper 'Electrical impedance spectroscopy and the diagnosis of bladder pathology: A pilot study'?,"The authors were BA Wilkinson, RH Smallwood, A Keshtar, JA Lee and FC Hamdy."
Who were the authors of the paper 'Neonatal lungs: Maturational changes in lung resistivity spectra'?,"The authors were BH Brown, RA Primhak, RH Smallwood, P Milnes, AJ Narracott and MJ Jackson."
Who were the authors of the paper 'Protein structures and information extraction from biological texts: The PASTA system'?,"The authors were R Gaizauskas, G Demetriou, PJ Artymiuk and P Willett."
"Who were the authors of the paper 'A hybrid machine model of rice blast fungus, Magnaporthe grisea'?","The authors were Mike Holcombe, Lucy Holcombe, Marian Gheorghe and Nick Talbot."
Who were the authors of the paper 'A study of the morphological parameters of cervical squamous epithelium'?,"The authors were DC Walker, BH Brown, AD Blackett, J Tidy and RH Smallwood."
Who were the authors of the paper 'Further Development of Reduced Graphs for Identifying Bioactive Compounds'?,"The authors were Edward J Barker, Eleanor J Gardiner, Valerie J Gillet, Paula Kitts and Jeff Morris."
Who were the authors of the paper 'Comparison of Ranking Methods for Virtual Screening in Lead-Discovery Programs'?,"The authors were David Wilton, Peter Willett, Kevin Lawson and Graham Mullier."
Who were the authors of the paper 'Low frequency electrical bioimpedance for the detection of inflammation and dysplasia in Barrett s oesophagus'?,"The authors were CA Gonzalez-Correa, BH Brown, RH Smallwood, TJ Stephenson, CJ Stoddard and KD Bardhan."
Who were the authors of the paper 'Stand-off electrode (SoE): a new method for improving the sensitivity distribution of a tetrapolar probe'?,"The authors were Pedro Bertemes-Filho, Brian H Brown, Rod H Smallwood and Adrian J Wilson."
Who were the authors of the paper 'Modelling of epithelial tissue impedance measured using three different designs of probe'?,"The authors were DM Jones, RH Smallwood, DR Hose, BH Brown and DC Walker."
Who were the authors of the paper 'Simulation and verification of P systems through communicating X-machines'?,"The authors were P Kefalas, G Eleftherakis, M Holcombe and M Gheorghe."
Who were the authors of the paper 'Remote Web usability testing'?,The authors were Andres Baravalle and Vitaveska Lanfranchi.
Who were the authors of the paper 'A Probabilistic Model for the Extraction of Expression Levels from Oligonucleotide Arrays'?,"The authors were Marta Milo, Alireza Fazeli, Mahesan Niranjan and Neil D Lawrence."
Who were the authors of the paper 'Filament behavior in a computational model of ventricular fibrillation in the canine heart'?,The authors were RH Clayton and AV Holden.
Who were the authors of the paper 'Reducing the Variability in cDNA Microarray Image Processing by Bayesian Inference'?,"The authors were Neil D Lawrence, Marta Milo, Mahesan Niranjan, Penny Rashbass and Stephan Soullier."
Who were the authors of the paper 'Propagation of normal beats and re-entry in a computational model of ventricular cardiac tissue with regional differences in action potential shape and duration'?,The authors were Richard H Clayton and Arun V Holden.
Who were the authors of the paper 'Comparison of Fingerprint-Based Methods for Virtual Screening Using Multiple Bioactive Reference Structures'?,"The authors were Jérôme Hert, Peter Willett, David J Wilton, Pierre Acklin, Kamal Azzaoui, Edgar Jacoby and Ansgar Schuffenhauer."
"Who were the authors of the paper 'Connectionist simulation of attitude learning: Asymmetries in the acquisition of
positive and negative evaluations'?","The authors were JR Eiser, RH Fazio, T Stafford and TJ Prescott."
Who were the authors of the paper 'Computational models of the basal ganglia: from robots to membranes'?,"The authors were Kevin Gurney, Tony J Prescott, Jeffery R Wickens and Peter Redgrave."
Who were the authors of the paper 'The Epitheliome: agent-based modelling of the social behaviour of cells'?,"The authors were DC Walker, J Southgate, G Hill, M Holcombe, DR Hose, SM Wood, S Mac Neil and RHR smallwood shef ac uk Smallwood."
Who were the authors of the paper 'Coupled computational simulation and empirical research into the foraging system of Pharaoh’s ant (Monomorium pharaonis)'?,"The authors were Duncan Jackson, Mike Holcombe and Francis Ratnieks."
Who were the authors of the paper 'Agent-based computational modeling of wounded epithelial cell monolayers'?,"The authors were DC Walker, G Hill, SM Wood, RH Smallwood and J Southgate."
Who were the authors of the paper 'A Computational Model of Auditory Selective Attention'?,The authors were SN Wrigley and GJ Brown.
Who were the authors of the paper 'Comparison of topological descriptors for similarity-based virtual screening using multiple bioactive reference structures'?,"The authors were J Hert, P Willett, DJ Wilton, P Acklin, K Azzaoui, E Jacoby and A Schuffenhauer."
Who were the authors of the paper 'Empirically inspired simulated electro-mechanical model of the rat mystacial follicle-sinus complex'?,"The authors were B Mitchinson, KN Gurney, P Redgrave, C Melhuish, AG Pipe, M Pearson, I Gilhespy and TJ Prescott."
Who were the authors of the paper 'Testing computational hypotheses of brain systems function: a case study with the basal ganglia'?,"The authors were K Gurney, M Humphries, R Wood, T Prescott and P Redgrave."
Who were the authors of the paper 'Development and validation of computational models of cellular interaction'?,"The authors were RHR smallwood shef ac uk Smallwood, WML Holcombe and DC Walker."
Who were the authors of the paper ''?,The authors were RH Clayton and AV Holden.
Who were the authors of the paper 'Distinct NF-κB Regulation by Shear Stress Through Ras-Dependent IκBα Oscillations'?,"The authors were Arunima Ganguli, Linda Persson, Ian R Palmer, Iona Evans, Lin Yang, Rod Smallwood, Richard Black and Eva E Qwarnstrom."
Who were the authors of the paper ''?,The authors were Aba-Sah Dadzie and Albert Burger.
Who were the authors of the paper 'Electrical bioimpedance readings increase with higher pressure applied to the measuring probe'?,"The authors were CA González-Correa, BH Brown, RH Smallwood, DC Walker and KD Bardhan."
Who were the authors of the paper 'Modelling the electrical properties of bladder tissue—quantifying impedance changes due to inflammation and oedema'?,"The authors were DC Walker, RH Smallwood, A Keshtar, BA Wilkinson, FC Hamdy and JA Lee."
Who were the authors of the paper 'Generation of multiple pharmacophore hypotheses using multiobjective optimisation techniques'?,"The authors were SJ Cottrell, VJ Gillet, R Taylor and DJ Wilton."
Who were the authors of the paper 'A comparison of neonatal and adult lung impedances derived from EIT images'?,"The authors were RH Smallwood, AR Hampshire, BH Brown, RA Primhak, S Marven and P Nopp."
Who were the authors of the paper 'Accounting for Probe-level Noise in Principal Component Analysis of Microarray Data'?,"The authors were Guido Sanguinetti, Marta Milo, Magnus Rattray and Neil D Lawrence."
Who were the authors of the paper 'Phase singularities and filaments: Simplifying complexity in computational models of ventricular fibrillation'?,"The authors were R CLAYTON, E ZHUCHKOVA and A PANFILOV."
"Who were the authors of the paper 'Regional differences in APD restitution can initiate wavebreak and re-entry in cardiac tissue: A computational study
'?",The authors were RH Clayton and P Taggart.
Who were the authors of the paper 'Enhancing the Effectiveness of Similarity-Based Virtual Screening Using Nearest-Neighbor Information'?,"The authors were Jérôme Hert, Peter Willett, David J Wilton, Pierre Acklin, Kamal Azzaoui, Edgar Jacoby and Ansgar Schuffenhauer."
Who were the authors of the paper 'Automatic speech recognition and training for severely dysarthric users of assistive technology: The STARDUST project'?,"The authors were Mark Parker, Stuart Cunningham, Pam Enderby, Mark Hawley and Phil Green."
Who were the authors of the paper 'New Methods for Ligand-Based Virtual Screening:  Use of Data Fusion and Machine Learning to Enhance the Effectiveness of Similarity Searching'?,"The authors were Jérôme Hert, Peter Willett, David J Wilton, Pierre Acklin, Kamal Azzaoui, Edgar Jacoby and Ansgar Schuffenhauer."
,
What are some keywords associated with the paper 'Assessing the conditions forin vivo electrical virtual biopsies in Barrett's oesophagus'?,"Some key words and phrases associated with the paper are Animals, Barrett Esophagus, Electric Impedance, Electrodiagnosis, Esophageal Neoplasms, Esophagoscopy, Humans, Precancerous Conditions, Pressure and Rats."
"What are some keywords associated with the paper 'Mk3.5: a modular, multi-frequency successor to the Mk3a EIS/EIT system'?","Some key words and phrases associated with the paper are Electric Impedance, Electrodes, Equiment Design, Humans, Signal Processing, Computer-Assisted, Software and Tomography."
What are some keywords associated with the paper 'Is the short-latency dopamine response too short to signal reward error?'?,"Some key words and phrases associated with the paper are Dopamine, Reward-error, Reward-prediction, Reinforcement, Attention, Selection, Behavioural switching, Behavioural interrupt and Associative conditioning."
What are some keywords associated with the paper 'A computational model of action selection in the basal ganglia. I. A new functional anatomy'?,"Some key words and phrases associated with the paper are Animals, Basal Ganglia, Models, Neurological and ."
What are some keywords associated with the paper 'A computational model of action selection in the basal ganglia. II. Analysis and simulation of behaviour'?,"Some key words and phrases associated with the paper are Animals, Basal Ganglia, Behavior, Animal, Models, Neurological and ."
What are some keywords associated with the paper 'Computational models of collective foraging'?,"Some key words and phrases associated with the paper are Animals, Bees, Behavior, Animal, Communication, Computer Simulation, Models, Biological and Social Behavior."
What are some keywords associated with the paper 'Modelled current distribution in cervical squamous tissue'?,"Some key words and phrases associated with the paper are Algorithms, Basement Membrane, Carcinoma, Squamous Cell, Cell Nucleus, Electric Impedance, Epithelial Cells, Female, Finite Element Analysis, Humans, Membranes, Models, Anatomic and Uterine Cervical Neoplasms."
What are some keywords associated with the paper 'The basal ganglia: A vertebrate solution to the selection problem?'?,"Some key words and phrases associated with the paper are behaviour, action, movement, switching, model, architecture, gaba-related substances, saccadic eye-movements, nigra pars reticulata, super colliculus, subthalamic nucleus, thalamocortical circuits, parkinsons-disease, striatal functions, ventral striatum and caudate neurons."
What are some keywords associated with the paper 'Virtual Biopsies in Barrett's Esophagus Using an Impedance Probe'?,"Some key words and phrases associated with the paper are Animals, Barrett Esophagus, Biopsy, Electric Impedance, Endoscopy, Digestive System, Epithelial Cells, Esophageal Neoplasms, Humans, Precancerous Conditions and Rats."
What are some keywords associated with the paper 'Neonatal lungs-can absolute lung resistivity be determined non-invasively?'?,"Some key words and phrases associated with the paper are Child, Preschool, Electric Impedance, Humans, Infant, Infant, Newborn, Lung, Models, Biological and Tomography."
What are some keywords associated with the paper 'Electrical impedance spectroscopy and the diagnosis of bladder pathology: A pilot study'?,"Some key words and phrases associated with the paper are Adult, Aged, Biopsy, Carcinoma in Situ, Cystectomy, Cystitis, Diagnosis, Differential, Electric Impedance, Female, Humans, Male, Middle Aged, Neoplasm Staging, Predictive Value of Tests, Spectrum Analysis, Urinary Bladder Neoplasms and Urothelium."
What are some keywords associated with the paper 'Neonatal lungs: Maturational changes in lung resistivity spectra'?,"Some key words and phrases associated with the paper are Adult, Aging, Child, Preschool, Electric Impedance, Follow-Up Studies, Humans, Infant, Infant, Newborn, Infant, Premature, Lung and Tomography."
What are some keywords associated with the paper 'Protein structures and information extraction from biological texts: The PASTA system'?,"Some key words and phrases associated with the paper are Abstracting and Indexing, Algorithms, Databases, Bibliographic, Databases, Protein, Information Storage and Retrieval, MEDLINE, Natural Language Processing, Periodicals as Topic, Protein Conformation, Proteins, Publications, Sequence Alignment and Structure-Activity Relationship."
"What are some keywords associated with the paper 'A hybrid machine model of rice blast fungus, Magnaporthe grisea'?","Some key words and phrases associated with the paper are Magnaporthe, Models, Biological, Oryza, Spores and Fungal."
What are some keywords associated with the paper 'A study of the morphological parameters of cervical squamous epithelium'?,"Some key words and phrases associated with the paper are Carcinoma in Situ, Carcinoma, Squamous Cell, Cell Nucleus, Cell Size, Cervix Uteri, Cytoplasm, Diagnosis, Differential, Electric Impedance, Epithelial Cells, Female, Humans, Models, Biological, Neoplasm Invasiveness, Precancerous Conditions, Reference Values, Uterine Cervical Neoplasms, Uterine Neoplasms and Vagina."
What are some keywords associated with the paper 'Further Development of Reduced Graphs for Identifying Bioactive Compounds'?,"Some key words and phrases associated with the paper are Data Display, Drug Design, Information Management, Molecular Structure, Pharmaceutical Preparations, Pharmacology and Structure-Activity Relationship."
What are some keywords associated with the paper 'Agent-based computational modeling of wounded epithelial cell monolayers'?,"Some key words and phrases associated with the paper are Calcium, Computational modeling, emergent structure, urinary epithelium and wound healing."
What are some keywords associated with the paper 'The Epitheliome: agent-based modelling of the social behaviour of cells'?,"Some key words and phrases associated with the paper are Computational modelling, software agent, epithelium, urothelium, cell culture and calcium."
"What are some keywords associated with the paper 'Connectionist simulation of attitude learning: Asymmetries in the acquisition of
positive and negative evaluations'?","Some key words and phrases associated with the paper are attitude, connectionism, learning and simulation."
What are some keywords associated with the paper 'Empirically inspired simulated electro-mechanical model of the rat mystacial follicle-sinus complex'?,"Some key words and phrases associated with the paper are whisker, follicle, model, mystacial, trigeminal and rat."
